SL.NO,All India Rank,Course Code,Name of the College Allotted.,Course Name,Allotted Category,Course_fees,Status,Exam year,Counselling Type,State,Round,District
912,15045,M52PD6,"Akash Institute of Medical Sciences and Research Centre,Bangalore",M.S. Obstetrics and Gynecology,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
913,15056,M31PC4,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.D. General Medicine,MU,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
914,15092,M14PD1,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. Opthalamology,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
915,15094,M30PC5,"Navodaya Medical College ,PB No.26,Navodaya Nagar,Raichur",M.D. Radio Diagnosis,MEH,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Raichur
916,15096,M16PD3,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. Orthopedics,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
917,15111,M16PC6,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. Psychiatry,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
918,15118,M52PC4,"Akash Institute of Medical Sciences and Research Centre,Bangalore",M.D. General Medicine,ME,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
919,15130,M26PD5,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.S. General Surgery,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
920,15162,M04GC3,"Vijayanagar Institute of Medical Sciences ,Bellary",M.D. Paediatrics,SCH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bellary
921,15166,M14PD3,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. Orthopedics,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
922,15264,M48PC5,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. Radio Diagnosis,RC2,1280775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
923,15284,M47PC5,"Srinivas Institute of Medical Science and Research Centre,Shrinivasanagara,Mukka, Surathkal,Mangalore",M.D. Radio Diagnosis,GMP,7040750.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
924,15297,M18GC1,"Adichunchanagiri Institute of Medical Sciences ,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist. (P)",M.D. Dermatology,SCG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
925,15301,M15GC2,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.D. Radio Therapy,GM,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
926,15314,M24PD6,"Al-Ameen Medical College ,Athani Road,Bijapur",M.S. Obstetrics and Gynecology,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,bijapur
927,15363,M14GD2,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. ENT,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
928,15397,M19GD5,"K.Venkataramana Gowda Medical College and Hospital ,Kurunjibag,Dakshina Kannada,Sullia",M.S. General Surgery,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dakshina Kannada
929,15416,M60GD2,"Karwar Institute of Medical Sciences, Karwar, Uttara Kannada",M.S. ENT,2BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Uttara Kannada
930,15426,M58PD6,"Kanachur Institute of Medical Science and Research Centre,Mangalore",M.S. Obstetrics and Gynecology,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
931,15458,M14PD5,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. General Surgery,GMPH,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
932,15460,M27PC7,"Sri Dharmasthala Manjunatheshwara Medical college ,Manjushree Nagar,Sattur,Dharwad (P)",M.D. Respiratory Medicine,GMP,1115750.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
933,15496,M19PC3,"K.Venkataramana Gowda Medical College and Hospital ,Kurunjibag,Dakshina Kannada,Sullia",M.D. Paediatrics,GMPH,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dakshina Kannada
934,15506,M16GD4,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
935,15542,M46PC6,"B G S Global Institute of Medical Sciences,Bangalore",M.D. Psychiatry,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
936,15546,M03GB2,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. Pathology,GM,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
937,15560,M58PC7,"Kanachur Institute of Medical Science and Research Centre,Mangalore",M.D. Respiratory Medicine,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
938,15572,M16PD6,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. Obstetrics and Gynecology,GMPH,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
939,15584,M43GD5,"Sapthagiri Institute of Medical Sciences ,Bangalore",M.S. General Surgery,GM,809608.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
940,15622,M25PC4,"Father Muller Institute of Med. Education and Research ,Father Muller Road,Kankanady,Mangalore",M.D. General Medicine,MC,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
941,15627,M46PD5,"B G S Global Institute of Medical Sciences,Bangalore",M.S. General Surgery,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
942,15662,M18GC3,"Adichunchanagiri Institute of Medical Sciences ,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist. (P)",M.D. Paediatrics,2BG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
943,15671,M34GD3,"Sanjay Gandhi Institute of Trauma and Orthopaedics,Bangalore",M.S. Orthopedics,SCG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
944,15710,M43GD4,"Sapthagiri Institute of Medical Sciences ,Bangalore",M.D. Anaesthesia,GM,809608.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
945,15746,M03GB2,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. Pathology,GM,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
946,15747,M52GD5,"Akash Institute of Medical Sciences and Research Centre,Bangalore",M.S. General Surgery,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
947,15754,M16PC9,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D Emergency Medicine,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
948,15800,M26PD6,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.S. Obstetrics and Gynecology,ME,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
949,15833,M30PD6,"Navodaya Medical College ,PB No.26,Navodaya Nagar,Raichur",M.S. Obstetrics and Gynecology,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Raichur
950,15854,M26GD4,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
951,15892,M02GB2,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. Pathology,3BG,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
952,15936,M14GD3,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. Orthopedics,2AG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
953,15938,M15GC4,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.D. General Medicine,SCG,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
954,15940,M15GD4,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.D. Anaesthesia,2AG,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
955,15958,M31GD4,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
956,16026,M31GD4,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
957,16059,M01GD3,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.S. Orthopedics,SCG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
958,16096,M16GD5,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. General Surgery,2BG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
959,16114,M14PD3,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. Orthopedics,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
960,16130,M16PD5,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. General Surgery,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
961,16132,M26PD6,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.S. Obstetrics and Gynecology,ME,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
962,16150,M27PC3,"Sri Dharmasthala Manjunatheshwara Medical college ,Manjushree Nagar,Sattur,Dharwad (P)",M.D. Paediatrics,GMP,2875650.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
963,16171,M07GD5,"Hassan Institute of Medical Sciences ,Hassan",M.S. General Surgery,SCG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Hassan
964,16243,M14GD1,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. Opthalamology,1G,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
965,16272,M24PC4,"Al-Ameen Medical College ,Athani Road,Bijapur",M.D. General Medicine,MM,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,bijapur
966,16298,M31PD3,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.S. Orthopedics,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
967,16324,M17PD6,"Mahadevappa Rampure Medical College ,M R Marga,Gulbarga",M.S. Obstetrics and Gynecology,GMPH,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
968,16366,M16PD3,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. Orthopedics,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
969,16376,M20GD1,"Dr. B.R. Ambedkar Medical College ,Kadugondanahalli,Bangalore",M.S. Opthalamology,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
970,16428,M15GD5,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.S. General Surgery,2AG,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
971,16431,M16PD2,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. ENT,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
972,16434,M11GC2,"Kidwai Cancer Institute,Bangalore",M.D. Radio Therapy,2BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
973,16443,M21GC5,"Shymanuru Shivashankarappa Institute Of Medical Sciences ,NH-4 Bypass Road,Davangere",M.D. Radio Diagnosis,SCG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
974,16462,M47PC4,"Srinivas Institute of Medical Science and Research Centre,Shrinivasanagara,Mukka, Surathkal,Mangalore",M.D. General Medicine,OPN,5540750.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
975,16482,M21GD4,"Shymanuru Shivashankarappa Institute Of Medical Sciences ,NH-4 Bypass Road,Davangere",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
976,16489,M25PD5,"Father Muller Institute of Med. Education and Research ,Father Muller Road,Kankanady,Mangalore",M.S. General Surgery,GMPH,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
977,16543,M26PD5,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.S. General Surgery,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
978,16553,M16PD3,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. Orthopedics,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
979,16566,M20PD3,"Dr. B.R. Ambedkar Medical College ,Kadugondanahalli,Bangalore",M.S. Orthopedics,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
980,16573,M26PC3,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.D. Paediatrics,ME,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
981,16577,M63PD6,"East Point College of Medical Science and Research Center, Bangalore",M.S. Obstetrics and Gynecology,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
982,16581,M37GD4,"Yenepoya Medical College,Nithyanandanagar Post,Deralakatte,Mangalore (D)",M.D. Anaesthesia,GM,823858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
983,16585,M63GD5,"East Point College of Medical Science and Research Center, Bangalore",M.S. General Surgery,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
984,16614,M26GC2,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.D. Radio Therapy,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
985,16620,M26GC5,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.D. Radio Diagnosis,SCG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
986,16625,M31GD5,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.S. General Surgery,2BG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
987,16666,M56GD1,"ESI Medical College, Gulbarga",M.S. Opthalamology,2AH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
988,16669,M25PC1,"Father Muller Institute of Med. Education and Research ,Father Muller Road,Kankanady,Mangalore",M.D. Dermatology,MC,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
989,16679,M14GC4,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.D. General Medicine,SCG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
990,16684,M03GB2,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. Pathology,GM,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
991,16690,M38GB2,"ESI Medical College ,Bangalore",M.D. Pathology,GM,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
992,16719,M15GD4,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.D. Anaesthesia,GMH,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
993,16721,M55GB1,"Gulbarga Institute of Medical Sciences, Gulbarga",M.D. Pharmacology,GM,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
994,16739,M14PD2,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. ENT,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
995,16744,M16GC4,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. General Medicine,SCG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
996,16802,M18GD4,"Adichunchanagiri Institute of Medical Sciences ,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist. (P)",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
997,16813,M30PD6,"Navodaya Medical College ,PB No.26,Navodaya Nagar,Raichur",M.S. Obstetrics and Gynecology,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Raichur
998,16814,M08GB2,"Shimoga Institute of Medical Sciences ,Sagar Road,Shimoga",M.D. Pathology,GM,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Shimoga
999,16819,M19GC1,"K.Venkataramana Gowda Medical College and Hospital ,Kurunjibag,Dakshina Kannada,Sullia",M.D. Dermatology,1G,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dakshina Kannada
1000,16821,M48PD2,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.S. ENT,GMP,1205775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1001,16836,M48PC1,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. Dermatology,RC2,1280775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1002,16848,M28PD5,"M.V.J.Medical College and Research Hospital ,30th KM, NH 4,Hoskote,Channasandra, Bangalore",M.S. General Surgery,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1003,16876,M43GD1,"Sapthagiri Institute of Medical Sciences ,Bangalore",M.S. Opthalamology,GM,809608.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1004,16905,M14PD3,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. Orthopedics,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
1005,16907,M17GD3,"Mahadevappa Rampure Medical College ,M R Marga,Gulbarga",M.S. Orthopedics,GMH,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
1006,16935,M26PC6,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.D. Psychiatry,ME,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1007,16977,M17GD5,"Mahadevappa Rampure Medical College ,M R Marga,Gulbarga",M.S. General Surgery,2BH,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
1008,17007,M58GD3,"Kanachur Institute of Medical Science and Research Centre,Mangalore",M.S. Orthopedics,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
1009,17043,M53PC4,"The Oxford Medical College Hospital and Research Center,Bangalore",M.D. General Medicine,ME,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1010,17058,M47PC4,"Srinivas Institute of Medical Science and Research Centre,Shrinivasanagara,Mukka, Surathkal,Mangalore",M.D. General Medicine,OPN,5540750.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
1011,17066,M21GC6,"Shymanuru Shivashankarappa Institute Of Medical Sciences ,NH-4 Bypass Road,Davangere",M.D. Psychiatry,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
1012,17092,M31PC3,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.D. Paediatrics,MU,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
1013,17118,M63PC7,"East Point College of Medical Science and Research Center, Bangalore",M.D. Respiratory Medicine,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1014,17124,M51GC7,"SDS Tuberculosis Research, Rajiv Gandhi Inst. of Chest Diseases,Bangalore",M.D. Respiratory Medicine,SCG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1015,17137,M14PD1,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. Opthalamology,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
1016,17162,M53PD6,"The Oxford Medical College Hospital and Research Center,Bangalore",M.S. Obstetrics and Gynecology,ME,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1017,17175,M18GD2,"Adichunchanagiri Institute of Medical Sciences ,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist. (P)",M.S. ENT,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
1018,17203,M22GD1,"S. Nijalingappa Medical College and Research Centre ,B.V.V. Sanga,Navanagara,Bagalkot",M.S. Opthalamology,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bagalkot
1019,17239,M43GD1,"Sapthagiri Institute of Medical Sciences ,Bangalore",M.S. Opthalamology,3BG,809608.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1020,17244,M23GD5,"Sri Basaveshwara Medical College and Hospital ,NH-4, S.J.M Campus,Chitradurga",M.S. General Surgery,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Chitradurga
1021,17280,M28GD4,"M.V.J.Medical College and Research Hospital ,30th KM, NH 4,Hoskote,Channasandra, Bangalore",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1022,17295,M38GD4,"ESI Medical College ,Bangalore",M.D. Anaesthesia,2BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1023,17325,M59PC4,"Subbaiah Institute of Medical Science,Shimoga",M.D. General Medicine,ME,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Shimoga
1024,17329,M16PD5,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. General Surgery,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1025,17337,M25QC5,"Father Muller Institute of Med. Education and Research ,Father Muller Road,Kankanady,Mangalore",M.D. Radio Diagnosis,MNG,7515750.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
1026,17338,M58GD5,"Kanachur Institute of Medical Science and Research Centre,Mangalore",M.S. General Surgery,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
1027,17349,M07GB2,"Hassan Institute of Medical Sciences ,Hassan",M.D. Pathology,GM,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Hassan
1028,17364,M18GD4,"Adichunchanagiri Institute of Medical Sciences ,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist. (P)",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
1029,17372,M38GB2,"ESI Medical College ,Bangalore",M.D. Pathology,1G,69150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1030,17377,M07GD2,"Hassan Institute of Medical Sciences ,Hassan",M.S. ENT,1G,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Hassan
1031,17406,M16QC5,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. Radio Diagnosis,MNG,11015750.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1032,17430,M26PD5,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.S. General Surgery,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1033,17433,M43GC7,"Sapthagiri Institute of Medical Sciences ,Bangalore",M.D. Respiratory Medicine,1G,809608.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1034,17462,M16PD1,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.S. Opthalamology,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1035,17465,M36GD4,"K.S.Hegde Medical Academy ,Nithyanandanagar Post,Deralakatte,Mangalore (D)",M.D. Anaesthesia,GMH,776858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
1036,17487,M46PD5,"B G S Global Institute of Medical Sciences,Bangalore",M.S. General Surgery,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1037,17516,M48PD1,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.S. Opthalamology,RC3,1205775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1038,17545,M20GD4,"Dr. B.R. Ambedkar Medical College ,Kadugondanahalli,Bangalore",M.D. Anaesthesia,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1039,17559,M30PD6,"Navodaya Medical College ,PB No.26,Navodaya Nagar,Raichur",M.S. Obstetrics and Gynecology,GMPH,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Raichur
1040,17578,M27GD4,"Sri Dharmasthala Manjunatheshwara Medical college ,Manjushree Nagar,Sattur,Dharwad (P)",M.D. Anaesthesia,3BG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
1041,17620,M03GD6,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.S. Obstetrics and Gynecology,SCG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
1042,17675,M16GC4,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. General Medicine,SCG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1043,17742,M21GD2,"Shymanuru Shivashankarappa Institute Of Medical Sciences ,NH-4 Bypass Road,Davangere",M.S. ENT,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
1044,17763,M30PC1,"Navodaya Medical College ,PB No.26,Navodaya Nagar,Raichur",M.D. Dermatology,MEH,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Raichur
1045,17773,M14PD3,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.S. Orthopedics,GMP,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
1046,17792,M46PD5,"B G S Global Institute of Medical Sciences,Bangalore",M.S. General Surgery,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
1047,17793,M18PC5,"Adichunchanagiri Institute of Medical Sciences ,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist. (P)",M.D. Radio Diagnosis,OPN,5015750.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
